plate,mjd,fiberid,z_log_abs_p2p5,z_log_abs_p16,z_log_abs_median,z_log_abs_p84,z_log_abs_p97p5,z_log_abs_mode,dr4_index,age_logyr_rband_p2p5,age_logyr_rband_p16,age_logyr_rband_median,age_logyr_rband_p84,age_logyr_rband_p97p5,age_logyr_rband_mode
446,51899,391,-1.7487,-1.683,-1.6137,-1.5285,-1.4482,-1.6263,75062,9.7601,9.8501,9.9475,10.0067,10.0467,9.962
446,51899,398,-1.6074,-1.5273,-1.4522,-1.356,-1.3122,-1.451,75068,9.5418,9.6701,9.7785,9.8789,9.9683,9.8663
446,51899,533,-1.7255,-1.6659,-1.5984,-1.5427,-1.5049,-1.595,75167,9.7785,9.8716,9.9348,10.0006,10.0379,9.9149
446,51899,535,-1.5865,-1.5728,-1.5469,-1.5097,-1.5077,-1.5074,75169,9.8509,9.8562,9.952,10.0165,10.0251,9.8667
446,51899,537,-2.129,-1.9623,-1.8109,-1.6023,-1.4345,-1.883,75171,9.3586,9.5387,9.6847,9.8255,9.9038,9.6588
446,51899,538,-1.7928,-1.7484,-1.7305,-1.6798,-1.6631,-1.7265,75172,9.772,9.7846,9.8578,9.8725,9.8968,9.8664
446,51899,539,-1.7769,-1.7076,-1.6069,-1.4967,-1.3235,-1.6013,75173,9.4851,9.6795,9.8428,9.9442,9.9983,9.8509
446,51899,609,-1.8015,-1.7485,-1.7051,-1.6398,-1.5774,-1.7453,75233,9.7931,9.9096,9.984,10.0294,10.0669,10.0261
447,51877,332,-1.6722,-1.5855,-1.5346,-1.4894,-1.3803,-1.5324,75514,9.7386,9.8174,9.8892,9.9699,10.0149,9.8822
447,51877,333,-1.5518,-1.4882,-1.4143,-1.351,-1.3078,-1.4135,75515,9.6361,9.7627,9.828,9.9307,10.0082,9.7869
447,51877,335,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,75517,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
447,51877,338,-1.915,-1.7762,-1.6287,-1.4969,-1.37,-1.6263,75519,9.4825,9.6314,9.7856,9.902,9.9677,9.8029
447,51877,527,-1.6212,-1.5534,-1.4811,-1.3763,-1.311,-1.4886,75666,9.6266,9.7397,9.8417,9.9406,9.9963,9.8506
